Region,emissions-2025,emissions-2030,emissions-2035,emissions-2040,emissions-2045,emissions-2050
Africa,21564611301,1.07659E+11,50080529833,25548623305,1.10523E+11,1.52694E+11
ASEAN (Association of Southeast Asian Nations),24023484409,75038307330,1.08442E+11,33555424904,73257112141,1.57431E+11
ATE (Asian Transition Economies) ,2578466901,8625362517,13977422617,3715125745,8723713923,20607430732
China ,1.24498E+11,2.53001E+11,1.36386E+12,2.17488E+11,2.5091E+11,1.56912E+12
EU 5 (European Union 5) ,4708095964,7206347169,17624855457,6000320413,4419048558,9760230383
India ,88232628886,2.44862E+11,7.70695E+11,1.40723E+11,2.48077E+11,9.75389E+11
Latin America ,29195878001,1.01783E+11,2.24399E+11,42954775488,1.04337E+11,3.14856E+11
Middle East ,9610300848,26620086853,1.19885E+11,17559734455,29027034558,1.49553E+11
ODA (Other Developing Asia),10763021158,36046294976,72608088972,16171328417,36984676367,1.01248E+11
OECD Europe  ,80483903135,2.12528E+11,6.35149E+11,1.07313E+11,1.94404E+11,7.27778E+11
OECD North America ,98803193327,2.82208E+11,1.13243E+12,1.16688E+11,2.57183E+11,1.25986E+12
OECD Pacific ,26863047935,99806047129,2.94097E+11,39049596412,1.01126E+11,3.79193E+11
OETE (Other European Transition Economies) ,3772083913,12992013119,30630150642,5885958367,13769558374,43868855845
Other OECD,1158917973,3730343969,8493613888,1652298815,3735208359,11351112797
Others,645859705.4,2190733573,5827556812,943268120.6,2327597280,8169268378
Russia,35949576157,74803082106,5.18443E+11,66638166752,77550054903,5.88345E+11
