Region,emissions-2025,emissions-2030,emissions-2035,emissions-2040,emissions-2045,emissions-2050
Africa,505300984.9,26878823289,11518909009,16599730375,13676275385,27306545127
ASEAN (Association of Southeast Asian Nations),7568325073,88883663711,93608045565,77251332381,36653448816,1.55663E+11
ATE (Asian Transition Economies) ,685606268,10689450809,6797639883,9506144091,3686467859,14962390903
China ,67023373498,1.00714E+12,3.9469E+11,1.05525E+12,1.72368E+11,1.31389E+12
EU 5 (European Union 5) ,1568151964,15638094334,31526228497,7600473532,12943693120,36084688462
India ,37953612898,6.28716E+11,2.51037E+11,6.33315E+11,1.25314E+11,8.08704E+11
Latin America ,8768541778,1.82986E+11,65092536570,1.78905E+11,35703723490,2.2686E+11
Middle East ,5771686454,1.13218E+11,14424327819,1.19624E+11,14571179192,1.22274E+11
ODA (Other Developing Asia),2368669515,54288980027,14096631611,48478791993,15921689761,57920676918
OECD Europe  ,27548188782,5.3726E+11,4.24154E+11,4.79563E+11,1.42986E+11,8.53371E+11
OECD North America ,26528018738,9.8029E+11,5.50293E+11,8.83228E+11,1.70214E+11,1.39409E+12
OECD Pacific ,7380756135,2.86977E+11,36130256406,2.79846E+11,37647562934,3.00281E+11
OETE (Other European Transition Economies) ,1422679544,25693698266,5430859767,26260213623,4263607953,28975749945
Other OECD,350930653.1,7097527050,2818151604,6651344080,1655420754,8819250514
Others,326443386.2,5933542435,738470339,6125542365,703315780.9,6345056732
Russia,19094893357,3.71382E+11,88426823581,3.87862E+11,50056522815,4.37024E+11
