DATA source,,,,,,,,,
https://population.un.org/wpp/Download/Standard/MostUsed/,,,,,,,,,
https://tntcat.iiasa.ac.at/SspDb/dsd?Action=htmlpage&page=10,,,,,,,,,
https://databank.worldbank.org/source/world-development-indicators/Series/AG.LND.TOTL.K2,,,,,,,,,
Category,Pop-2020,Pop-2030,Pop-2040,Pop-2050,"GDP/PPP,2020","GDP/PPP,2030","GDP/PPP,2040","GDP/PPP,2050",Land area (km2)
Afghanistan,60.00,78.00,96.00,114.00,"1,496","2,298","4,127","7,526","652,230"
Albania,105.00,102.00,97.00,90.00,"9,384","12,721","17,592","23,062","27,400"
Algeria,18.00,21.00,23.00,25.00,"9,417","13,037","16,932","22,094","2,381,741"
American Samoa,231.00,206.00,184.00,168.00,3341.57,3993.49,4772.59,5703.69,200.00
Andorra,165.00,173.00,175.00,171.00,43354.68,51812.86,61921.16,74001.52,470.00
Angola,27.00,36.00,47.00,58.00,"6,996","7,783","8,813","12,158","1,246,700"
Anguilla,177.00,182.00,180.00,174.00,23912.61,28577.78,34153.09,40816.11,468.00
Antigua and Barbuda,211.00,222.00,227.00,225.00,19517.06,23324.69,27875.16,33313.40,440.00
Argentina,16.00,17.00,18.00,18.00,"20,012","27,683","37,243","46,757","2,736,690"
Armenia,99.00,97.00,94.00,90.00,"7,135","11,035","16,925","23,176","28,470"
Aruba,592.00,583.00,560.00,523.00,32655.37,39026.19,46639.90,55739.00,180.00
Australia,3.00,4.00,4.00,4.00,"42,774","50,160","58,600","66,798","7,692,020"
Austria,108.00,110.00,110.00,108.00,"41,592","47,586","54,891","62,058","82,520"
Azerbaijan,124.00,130.00,133.00,131.00,10491.00,"12,430","14,554","17,689","82,646"
Bahamas,76.00,80.00,83.00,84.00,"32,282","37,717","44,341","51,029","10,010"
Bahrain,1887.00,2011.00,2169.00,2311.00,"24,030","31,585","39,903","46,428",785.00
Bangladesh,1286.00,1417.00,1510.00,1566.00,"2,583","4,838","8,909","14,840","130,170"
Barbados,653.00,658.00,648.00,623.00,"20,245","24,761","31,107","38,385",430.00
Belarus,47.00,45.00,43.00,41.00,"19,136","28,326","39,313","48,494","202,980"
Belgium,382.00,392.00,398.00,399.00,"37,104","42,910","50,588","57,800","30,280"
Belize,17.00,20.00,22.00,24.00,"7,281","10,271","15,286","21,849","22,810"
Benin,112.00,145.00,183.00,224.00,"1,722","2,830","5,273","9,803","112,760"
Bermuda,1186.00,1163.00,1113.00,1038.00,141478.52,169079.93,202066.17,241487.78,54.00
Bhutan,20.00,21.00,22.00,23.00,"11,384","21,844","35,424","50,469","38,140"
Bolivia,11.00,13.00,14.00,15.00,"6,169","10,031","16,624","25,832","1,083,300"
Bosnia and Herzegovina,65.00,61.00,57.00,53.00,"10,177","16,003","23,256","29,751","51,200"
Botswana,4.00,5.00,6.00,6.00,"17,436","23,931","31,663","39,606","566,730"
Brazil,26.00,27.00,28.00,28.00,"13,429","18,514","25,526","33,571","8,358,140"
British Virgin Islands,201.00,214.00,224.00,226.00,48259.03,57674.01,68925.78,82372.69,150.00
Brunei Darussalam,77.00,82.00,86.00,86.00,"53,352","64,115","75,549","85,414","5,270"
Bulgaria,64.00,58.00,53.00,48.00,"16,892","26,656","37,833","47,128","108,560"
Burkina Faso,79.00,101.00,124.00,148.00,"1,637","2,858","5,329","9,620","273,600"
Burundi,471.00,609.00,768.00,933.00,744.00,"1,460","3,307","6,909","25,680"
Cabo Verde,145.00,159.00,171.00,181.00,"5,098","8,147","13,057","19,448","4,030"
Cambodia,91.00,100.00,107.00,112.00,"3,540","6,437","11,352","18,534","176,520"
Cameroon,57.00,73.00,91.00,110.00,"2,809","4,738","8,519","14,495","472,710"
Canada,4.00,5.00,5.00,5.00,"40,574","44,126","49,244","54,720","8,965,590"
Cayman Islands,279.00,302.00,314.00,322.00,91827.33,109742.16,131152.04,156738.82,240.00
Central African Republic,9.00,11.00,15.00,19.00,970.00,"1,699","3,418","6,754","622,980"
Chad,13.00,18.00,23.00,29.00,"1,557","2,597","4,989","9,318","1,259,200"
Chile,26.00,26.00,27.00,27.00,"19,880","27,636","37,085","46,894","743,532"
China,148.00,147.00,143.00,137.00,14986.00,"28,166","42,978","55,893",9388210.00
"China, Hong Kong",6825.00,6812.00,6650.00,6347.00,"55,189","66,032","75,363","81,805","1,050"
"China, Macao",21134.00,23855.00,25896.00,27552.00,"65,466","70,233","74,198","76,643",33.00
Christmas Island,0.00,0.00,0.00,0.00,44539.90,53229.31,63613.95,76024.56,135.00
Cocos (Keeling) Islands,0.00,0.00,0.00,0.00,22193.96,26523.83,31698.44,37882.56,14.00
Colombia,45.00,48.00,50.00,51.00,"11,644","15,806","22,735","31,224","1,109,500"
Comoros,433.00,516.00,595.00,670.00,"1,177","2,209","4,523","8,667","1,861"
Congo,17.00,21.00,26.00,30.00,"6,061","9,886","15,914","24,080","341,500"
"Congo, Dem. Rep.",41.00,56.00,75.00,96.00,526.00,"1,338","3,391","7,429","2,267,050"
Cook Islands,71.00,72.00,73.00,74.00,15032.71,17965.48,21470.41,25659.13,236.00
Costa Rica,100.00,106.00,111.00,112.00,"14,222","19,713","26,975","34,665","51,060"
Cote d'Ivoire,84.00,108.00,134.00,162.00,"2,632","6,072","12,708","22,446","318,000"
Croatia,73.00,69.00,64.00,60.00,"18,886","23,547","29,405","34,613","55,960"
Cuba,106.00,103.00,99.00,94.00,"7,929","11,086","15,968","22,468","103,800"
Curacao,412.00,427.00,425.00,0.00,24745.59,29573.27,35342.79,0.00,444.00
Cyprus,134.00,142.00,147.00,151.00,"18,434","21,218","25,937","30,869","9,240"
Czech Republic,136.00,136.00,136.00,137.00,"30,779","41,385","53,425","63,039","77,199"
Denmark,137.00,144.00,149.00,152.00,"36,460","40,722","46,377","53,233","40,000"
Djibouti,47.00,54.00,60.00,65.00,"3,063","5,364","9,465","15,197","23,180"
Dominica,96.00,100.00,101.00,99.00,13026.51,15567.88,18605.06,0.00,750.00
Dominican Republic,228.00,248.00,263.00,273.00,"11,678","16,227","22,475","29,576","47,531"
Ecuador,71.00,78.00,85.00,90.00,"9,269","12,957","19,039","27,129","248,360"
"Egypt, Arab Rep.",108.00,126.00,144.00,161.00,"7,587","12,488","20,269","29,449","995,450"
El Salvador,304.00,316.00,323.00,320.00,"7,217","10,106","15,032","21,681","20,720"
Equatorial Guinea,57.00,71.00,86.00,99.00,"31,542","38,771","47,660","57,770","28,050"
Eritrea,29.00,35.00,42.00,49.00,532.00,801.00,"1,516","3,049","121,041"
Estonia,31.00,30.00,28.00,27.00,"24,709","33,512","43,180","51,310","42,750"
Eswatini,68.00,75.00,86.00,95.00,"4,507","6,424","10,385","16,477","17,200"
Ethiopia,117.00,149.00,182.00,215.00,"1,469","2,619","5,234","10,085","1,128,571"
Falkland Islands (Islas Malvinas),0.00,0.00,0.00,0.00,86166.17,102976.55,123066.51,147075.88,"12,173"
Faroe Islands,38.00,39.00,41.00,43.00,63710.38,76139.81,90994.12,108746.39,"1,366"
Fiji,50.00,54.00,57.00,60.00,"4,834","6,930","11,022","17,133","18,270"
Finland,18.00,18.00,18.00,18.00,"37,150","42,661","49,888","56,597","303,940"
France,117.00,119.00,120.00,119.00,"32,396","37,404","44,447","51,807","547,557"
French Polynesia,82.00,88.00,93.00,94.00,"18,148","20,408","24,748","30,216","3,471"
