DATA source,,,,,,,,,,,,
https://unece.org/fileadmin/DAM/trans/doc/themes/ForFITS/12_-_Cuenot__IEA__-_MoMo_model.pdf,,,,,,,,,,,,
Category,PLDV(2000),PLDV(2010),PLDV(2020),PLDV(2030),PLDV(2040),PLDV(2050),Truck(2000),Truck(2010),Truck(2020),Truck(2030),Truck(2040),Truck(2050)
Afghanistan,1.26,1.56,3.33,6.47,10.78,16.15,0.71,0.87,1.70,1.22,1.78,2.03
Albania,4.67,6.99,5.23,7.36,7.60,7.53,0.71,1.06,2.18,1.56,2.13,2.57
Algeria,18.14,31.50,49.28,74.46,92.04,115.07,7.56,13.35,15.32,23.64,22.97,27.73
American Samoa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andorra,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Angola,0.13,3.57,9.39,14.28,30.79,65.96,0.80,1.23,4.22,3.51,7.32,10.14
Anguilla,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antigua and Barbuda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Argentina,77.20,53.37,80.97,63.34,82.42,116.91,18.79,28.57,31.71,45.99,48.60,54.61
Armenia,1.72,3.45,4.56,6.72,7.87,10.51,0.47,0.64,0.90,1.12,1.42,1.67
Aruba,0.31,0.21,0.32,0.25,0.33,0.47,0.07,0.11,0.13,0.18,0.19,0.22
Australia,88.79,140.80,210.47,222.68,200.43,177.41,45.05,60.92,60.15,73.61,71.34,73.82
Austria,14.50,13.40,18.53,18.99,15.63,11.83,3.78,4.46,4.16,4.42,4.46,4.65
Azerbaijan,5.89,11.86,15.64,23.07,27.01,36.08,1.62,2.19,3.09,3.85,4.86,5.72
Bahamas,1.04,0.72,1.09,0.86,1.11,1.58,0.25,0.39,0.43,0.62,0.66,0.74
Bahrain,5.16,9.34,10.89,10.96,13.32,15.68,1.56,2.53,3.18,3.98,4.69,5.42
Bangladesh,22.22,27.58,58.73,114.03,189.98,284.67,12.53,15.39,29.94,21.42,31.43,35.73
Barbados,0.32,0.22,0.33,0.26,0.34,0.48,0.08,0.12,0.13,0.19,0.20,0.22
Belarus,19.14,28.61,21.40,30.15,31.11,30.84,2.89,4.33,8.91,6.39,8.72,10.52
Belgium,58.77,54.32,75.07,76.94,63.33,47.93,15.31,18.09,16.84,17.91,18.07,18.82
Belize,0.29,0.20,0.31,0.24,0.31,0.44,0.07,0.11,0.12,0.17,0.18,0.21
Benin,0.03,0.78,2.05,3.12,6.72,14.40,0.18,0.27,0.92,0.77,1.60,2.21
Bermuda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bhutan,0.18,0.22,0.46,0.90,1.50,2.25,0.10,0.12,0.24,0.17,0.25,0.28
Bolivia,7.46,5.16,7.82,6.12,7.96,11.29,1.81,2.76,3.06,4.44,4.70,5.27
Bosnia and Herzegovina,5.87,8.77,6.56,9.24,9.54,9.45,0.89,1.33,2.73,1.96,2.67,3.22
Botswana,0.02,0.69,1.82,2.77,5.98,12.81,0.16,0.24,0.82,0.68,1.42,1.97
Brazil,175.64,229.73,331.44,367.18,399.59,466.48,71.84,115.80,136.60,146.58,169.08,186.29
