Region,emissions-2025,emissions-2030,emissions-2035,emissions-2040,emissions-2045,emissions-2050
Africa,9139979287,6223570009,9957119906,90157611188,10247477543,1.00785E+11
ASEAN (Association of Southeast Asian Nations),96446786276,52190752312,75917298650,2.49018E+11,38883924983,3.17391E+11
ATE (Asian Transition Economies) ,8730853389,6038805739,5471931032,20538654325,3237983418,25324711972
China ,3.30979E+11,2.85771E+11,1.27411E+11,5.71093E+11,81558980124,6.64233E+11
EU 5 (European Union 5) ,22901481368,6544963240,22317617629,11107067170,5202564029,31283799597
India ,4.96375E+11,4.1237E+11,2.01153E+11,8.77445E+11,1.18146E+11,1.03032E+12
Latin America ,1.40944E+11,1.18963E+11,52945851796,2.92419E+11,34062205817,3.35992E+11
Middle East ,77034833494,80332765932,8728650293,54652001999,6553995732,54829767080
ODA (Other Developing Asia),31413893284,30422810894,8988057391,29287224192,6476942105,35021605546
OECD Europe  ,5.55566E+11,3.3344E+11,3.14872E+11,7.46734E+11,91048775682,1.02964E+12
OECD North America ,9.41355E+11,6.34637E+11,3.96319E+11,1.01659E+12,83459655399,1.38812E+12
OECD Pacific ,1.97018E+11,1.95339E+11,22122097402,98004718002,12576113947,1.08146E+11
OETE (Other European Transition Economies) ,18040427732,17628834518,4447336608,29555921228,3780169277,32259177969
Other OECD,5528071027,4561843500,2109613885,8285801406,1109531893,9998913475
Others,4006180019,4145200384,574323032.2,5254817137,559117067.3,5491789437
Russia,89305415845,74300766237,37293138604,2.23576E+11,26440648424,2.54229E+11
