Region,emissions-2025,emissions-2030,emissions-2035,emissions-2040,emissions-2045,emissions-2050
Africa,1120678332,43507127884,13964073371,33854463815,15120461482,45732368132
ASEAN (Association of Southeast Asian Nations),7221335274,93283531632,81836986211,81014682307,36706763467,1.48359E+11
ATE (Asian Transition Economies) ,730821665.1,12180707053,6131361339,11023444773,3841444230,15721213758
China ,86472464188,1.27879E+12,5.04662E+11,1.34862E+12,2.10893E+11,1.67754E+12
EU 5 (European Union 5) ,1414417484,16127135806,27540710350,7829454981,12881378632,32632329194
India ,41021553665,6.7621E+11,2.60181E+11,6.83507E+11,1.31466E+11,8.61823E+11
Latin America ,9501841088,1.961E+11,68221884136,1.9265E+11,37250534841,2.42267E+11
Middle East ,5279242266,1.03171E+11,13397288692,1.08955E+11,13359401216,1.11584E+11
ODA (Other Developing Asia),2983168284,63995346111,16583238228,58778225710,17220347790,69441933229
OECD Europe  ,27575364532,5.67416E+11,3.90774E+11,5.08823E+11,1.44653E+11,8.49197E+11
OECD North America ,27823813162,1.02175E+12,5.65066E+11,9.24457E+11,1.73255E+11,1.44827E+12
OECD Pacific ,6598034038,2.54199E+11,36062819204,2.45806E+11,35611478166,2.6786E+11
OETE (Other European Transition Economies) ,1463407884,26590615909,5191709638,27181181055,4360683138,29578885260
Other OECD,374652988.9,7464428817,2966766859,7033576017,1704565312,9305167503
Others,277205383.3,5048553608,628231340.8,5201798443,608094725.3,5389194361
Russia,25351159157,4.92853E+11,1.09846E+11,5.16623E+11,63890270824,5.74262E+11
