Region,emissions-2025,emissions-2030,emissions-2035,emissions-2040,emissions-2045,emissions-2050
Africa,843851795.6,25953223915,6734570835,22695024259,6510107492,27735597193
ASEAN (Association of Southeast Asian Nations),2650168270,37797418101,25128231669,32885321987,13894694065,52668882243
ATE (Asian Transition Economies) ,318203036.4,5459160959,2008052849,5044464978,1537644764,6421709812
China ,70819116073,1.01516E+12,4.06158E+11,1.08452E+12,1.54684E+11,1.34638E+12
EU 5 (European Union 5) ,471358367.1,6380004712,8422204485,3125215750,4831349432,10635037944
India ,17852457862,2.827E+11,1.04011E+11,2.87081E+11,53088512734,3.55301E+11
Latin America ,4140270159,81557023852,27660797692,80650525516,14927936235,1.00145E+11
Middle East ,1773611175,33919316677,4571009641,35800221206,4421827385,36732234547
ODA (Other Developing Asia),1563523294,29751231050,7769346076,28142396930,7230534377,32754401882
OECD Europe  ,10784097141,2.31482E+11,1.31121E+11,2.09029E+11,55558367847,3.20407E+11
OECD North America ,11495978440,4.09134E+11,2.21611E+11,3.72298E+11,67007695061,5.77011E+11
OECD Pacific ,2138790451,79601532211,13749793214,75839436639,12414031174,85020822059
OETE (Other European Transition Economies) ,591579694.1,10554335432,1860838414,10793593073,1699924803,11522005859
Other OECD,157556775.8,3025609451,1204972603,2873082875,668126912.2,3782451570
Others,82238323,1466861736,183810206.5,1504885328,182436512.9,1558376997
Russia,21826461992,4.23506E+11,83601928858,4.46834E+11,51085042178,4.85366E+11
