Region,emissions-2025,emissions-2030,emissions-2035,emissions-2040,emissions-2045,emissions-2050
Africa,0,44405035338,13861858975,34328040093,15277090756,48659131928
ASEAN (Association of Southeast Asian Nations),0,94068378552,83624852569,80998587330,37691185607,1.66411E+11
ATE (Asian Transition Economies) ,0,12487739158,6005467199,11257613625,3924404346,17428152392
China ,0,1.24866E+12,4.24843E+11,1.30942E+12,2.10254E+11,1.74801E+12
EU 5 (European Union 5) ,0,15411434224,29625771131,6943694298,13162222890,36812185409
India ,0,7.05827E+11,2.40459E+11,7.12411E+11,1.37423E+11,9.59051E+11
Latin America ,0,2.07127E+11,64117537525,2.03054E+11,38161560073,2.69058E+11
Middle East ,0,1.11325E+11,7948340401,1.16767E+11,14158176277,1.25978E+11
ODA (Other Developing Asia),0,66574660197,14419614419,60966407250,17690673017,76141612355
OECD Europe  ,0,5.95204E+11,4.12094E+11,5.37906E+11,1.47123E+11,9.506E+11
OECD North America ,0,1.10279E+12,6.119E+11,1.01387E+12,1.72981E+11,1.61642E+12
OECD Pacific ,0,2.80665E+11,30114057966,2.70315E+11,36717896772,3.0359E+11
OETE (Other European Transition Economies) ,0,28109044424,4119959377,28779049588,4539542004,33005251250
Other OECD,0,7854442631,2864919001,7423819113,1728471964,10326063932
Others,0,5461104596,481125854,5723796598,634363410.4,6122524478
Russia,0,4.84303E+11,84708639506,5.04201E+11,62981604769,5.94031E+11
