Region,emissions-2025,emissions-2030,emissions-2035,emissions-2040,emissions-2045,emissions-2050
Africa,24211387.62,31414902.87,66427802.52,35122058.09,65904772.73,96061781.4
ASEAN (Association of Southeast Asian Nations),26041262.18,33109644.44,102944725.4,52643164.22,84578844.38,125151446.7
ATE (Asian Transition Economies) ,5343632.532,6700863.909,13963509.31,8562306.347,11780474.33,15230751.54
China ,65822072.9,84242833.61,228962048.2,117394430.5,173296833.9,252594795.2
EU 5 (European Union 5) ,5350539.507,6925651.371,10641824.62,6368736.583,6251355.947,9111880.119
India ,18210363.48,23432112.63,95939420.56,48457367.07,112906891,164571344.9
Latin America ,31511301.7,40783522.66,66237506.51,34755382.95,50877967.55,74158941.67
Middle East ,28028486,36000622.76,58346693.08,30930813.59,47162601.78,68743481.75
ODA (Other Developing Asia),10885503.66,14232525.41,29638938.03,17631941.51,30134524.76,43923619.03
OECD Europe  ,136515315,174609387.6,262597508.6,148157517,153257255.1,223385414
OECD North America ,203530193,258415270.3,400929217.1,221402257.4,244779729.6,356787162.8
OECD Pacific ,52596342.04,67197154.18,97201381.66,53957197.73,55091337.05,80300284.14
OETE (Other European Transition Economies) ,5109317.441,6615154.602,11944038.35,7233231.238,8778084.276,12794800.4
Other OECD,6776844.346,8888977.583,11315120.38,8006898.34,8569018.944,12490070
Others,0,0,0,0,0,0
Russia,12024387.64,15311856.33,23169966.48,12989782.8,15331984.62,22347664.58
